통화명,전일대비,date,ttb,tts,deal_bas_r,bkpr,kftc_bkpr,kftc_deal_bas_r,cur_nm
SAR,+0.83,2023-05-23,348.24,355.27,351.76,351,351,351.76,사우디 리얄
KWD,+7.72,2023-05-23,"4,250.04","4,335.89","4,292.97","4,292","4,292","4,292.97",쿠웨이트 디나르
BHD,+7.94,2023-05-23,"3,463.67","3,533.64","3,498.66","3,498","3,498","3,498.66",바레인 디나르
AED,+0.85,2023-05-23,355.61,362.8,359.21,359,359,359.21,아랍에미리트 디르함
THB,+0.12,2023-05-23,37.89,38.66,38.28,38,38,38.28,태국 바트
SGD,+1.83,2023-05-23,969.89,989.48,979.69,979,979,979.69,싱가포르 달러
IDR,+0.02,2023-05-23,8.77,8.94,8.86,8,8,8.86,인도네시아 루피아
MYR,+0.65,2023-05-23,287.13,292.94,290.04,290,290,290.04,말레이지아 링기트
BND,+0.67,2023-05-23,969.89,989.48,979.69,979,979,979.69,브루나이 달러
USD,-10.60,2023-05-24,"1,298.28","1,324.51","1,311.4","1,311","1,311","1,311.4",미국 달러
JPY,-7.72,2023-05-24,937.12,956.05,946.59,946,946,946.59,일본 옌
EUR,-11.42,2023-05-24,"1,398.64","1,426.89","1,412.77","1,412","1,412","1,412.77",유로
HKD,-1.38,2023-05-24,165.65,169,167.33,167,167,167.33,홍콩 달러
GBP,-11.97,2023-05-24,"1,612.47","1,645.04","1,628.76","1,628","1,628","1,628.76",영국 파운드
CHF,-13.96,2023-05-24,"1,440.53","1,469.64","1,455.09","1,455","1,455","1,455.09",스위스 프랑
CAD,-7.53,2023-05-24,961.65,981.08,971.37,971,971,971.37,캐나다 달러
AUD,-6.81,2023-05-24,858.35,875.7,867.03,867,867,867.03,호주 달러
NZD,-6.95,2023-05-24,811.23,827.62,819.43,819,819,819.43,뉴질랜드 달러
SEK,-1.52,2023-05-24,122.2,124.67,123.44,123,123,123.44,스웨덴 크로나
DKK,-2.00,2023-05-24,187.78,191.57,189.68,189,189,189.68,덴마아크 크로네
NOK,-0.91,2023-05-24,118.51,120.9,119.71,119,119,119.71,노르웨이 크로네
SAR,-2.81,2023-05-24,346.21,353.2,349.71,349,349,349.71,사우디 리얄
KWD,-35.76,2023-05-24,"4,224.95","4,310.3","4,267.63","4,267","4,267","4,267.63",쿠웨이트 디나르
BHD,-29.32,2023-05-24,"3,443.45","3,513.02","3,478.24","3,478","3,478","3,478.24",바레인 디나르
AED,-2.87,2023-05-24,353.53,360.68,357.11,357,357,357.11,아랍에미리트 디르함
THB,-0.17,2023-05-24,37.55,38.3,37.93,37,37,37.93,태국 바트
SGD,-7.94,2023-05-24,963.98,983.45,973.72,973,973,973.72,싱가포르 달러
IDR,-0.08,2023-05-24,8.72,8.89,8.81,8,8,8.81,인도네시아 루피아
MYR,-2.22,2023-05-24,284.09,289.82,286.96,286,286,286.96,말레이지아 링기트
BND,-9.47,2023-05-24,963.98,983.45,973.72,973,973,973.72,브루나이 달러
USD,-4.20,2023-05-25,"1,304.32","1,330.67","1,317.5","1,317","1,317","1,317.5",미국 달러
JPY,-2.44,2023-05-25,936.84,955.77,946.31,946,946,946.31,일본 옌
EUR,-4.39,2023-05-25,"1,402.8","1,431.13","1,416.97","1,416","1,416","1,416.97",유로
HKD,-0.51,2023-05-25,166.58,169.95,168.27,168,168,168.27,홍콩 달러
GBP,-4.67,2023-05-25,"1,613.18","1,645.77","1,629.48","1,629","1,629","1,629.48",영국 파운드
CHF,-3.43,2023-05-25,"1,442.12","1,471.25","1,456.69","1,456","1,456","1,456.69",스위스 프랑
CAD,-3.41,2023-05-25,959.66,979.05,969.36,969,969,969.36,캐나다 달러
AUD,-2.28,2023-05-25,853.48,870.73,862.11,862,862,862.11,호주 달러
NZD,-2.44,2023-05-25,796.94,813.03,804.99,804,804,804.99,뉴질랜드 달러
SEK,-0.98,2023-05-25,121.68,124.13,122.91,122,122,122.91,스웨덴 크로나
DKK,-1.06,2023-05-25,188.3,192.11,190.21,190,190,190.21,덴마아크 크로네
NOK,-0.20,2023-05-25,119.01,121.42,120.22,120,120,120.22,노르웨이 크로네
